T <|M|> <E> X XErr Cv CvErr
1.0 2498.1251261352168 -4992.637739656912 0.0015436869260274865 8.317800555788808e-05 0.023151139671778603 0.0012314015427253946
1.1 2496.167507568113 -4985.0938446014125 0.0030207114003094164 0.00016152608452249282 0.03976758510964586 0.0019944878559246424
1.2000000000000002 2492.567103935419 -4971.539858728557 0.006013214795928237 0.00035961098930943245 0.0675272383619862 0.00333337394074354
1.3000000000000003 2487.2774974772956 -4952.149344096872 0.00978985894395519 0.0005522381973167666 0.09524248343342456 0.0046634709065517645
1.4000000000000004 2478.6175580222 -4920.544904137235 0.017108852382993717 0.0008860632750094734 0.1469177190151965 0.007106436902083194
1.5000000000000004 2466.452068617558 -4878.785065590313 0.02729350104522946 0.0013511978042855966 0.19614776884776067 0.008285233021155861
1.6000000000000005 2448.661957618567 -4819.144298688194 0.04080669924374872 0.0018503075613153246 0.251949162034496 0.01194987786511712
1.7000000000000006 2425.087790110999 -4744.742684157417 0.0710411022164998 0.003522086221924618 0.35208131096269746 0.015482074063254365
1.8000000000000007 2390.9889001009083 -4645.868819374369 0.10699290904834843 0.005477587193679372 0.4264926245491729 0.01955748547331519
1.9000000000000008 2346.0544904137237 -4524.052472250252 0.1865227165580028 0.009617366927936138 0.5245370407286611 0.023342525677887374
2.000000000000001 2277.6791120080725 -4361.667003027245 0.37021795310162786 0.021438125816427962 0.7429471353177582 0.031960920432534116
2.100000000000001 2173.4207870837536 -4156.43995963673 0.8446516807046415 0.04422010462890375 0.970740856149644 0.04253973888110939
2.200000000000001 1964.593340060545 -3863.0837537840566 3.8028839768909988 0.23391649219374577 1.3183818038741992 0.05823946940168946
2.300000000000001 945.7275479313824 -3349.263370332997 142.38242404215035 5.52334757856691 1.5176200366888437 0.07213902849193828
2.4000000000000012 478.23208879919275 -3005.541876892028 53.20058103557648 1.7889509586483414 1.0551729462460033 0.044059622038681856
2.5000000000000013 315.364278506559 -2769.029263370333 24.02284351404822 1.0223963833585346 0.8781305122978645 0.03850937521070728
2.6000000000000014 256.76286579212916 -2573.2189707366297 15.489033297190817 0.6208198895242748 0.7537565595298596 0.03364201303155329
2.7000000000000015 188.60948536831484 -2406.518668012109 8.281915782838606 0.35858519225190144 0.5864711846753436 0.028019189580480146
2.8000000000000016 164.58526740665994 -2269.7679112008072 6.053002096568405 0.2657566689420693 0.4964619648044737 0.02167659848282098
2.9000000000000017 141.98385469223007 -2149.6548940464177 4.387664022516013 0.19792360991543595 0.42211580676811233 0.019671560167009664
3.0000000000000018 140.78506559031283 -2043.321897073663 4.067880238255974 0.16897867687643253 0.3913432588780577 0.01725679225887423
