# (x y) dist_from_charge phi Ex Ey Ez
4.300000000000000000e+01 0.000000000000000000e+00 3.080584360149872580e+01 3.427704399304964067e+00 2.824616999600657708e-05 -8.931122344117512776e-06 -3.828953857491437405e-08
4.400000000000000000e+01 0.000000000000000000e+00 3.140063693621516450e+01 3.446828177301317631e+00 2.416515814921313637e-05 -8.872947205290635029e-06 -3.305531381871552182e-08
4.500000000000000000e+01 0.000000000000000000e+00 3.201562118716424266e+01 3.466223945786254035e+00 2.010004981542030687e-05 -8.811108318671781946e-06 -2.771268090267031497e-08
4.600000000000000000e+01 0.000000000000000000e+00 3.264965543462901820e+01 3.485834302362894821e+00 1.605223879459058200e-05 -8.751777378290906371e-06 -2.227811205247198908e-08
4.700000000000000000e+01 0.000000000000000000e+00 3.330165161069342616e+01 3.505606993675183691e+00 1.202170426966496804e-05 -8.700370588164347462e-06 -1.677195442093143971e-08
4.800000000000000000e+01 0.000000000000000000e+00 3.397057550292606010e+01 3.525494723534022601e+00 8.005553666232478687e-06 -8.660700374057914841e-06 -1.121106493492055728e-08
4.900000000000000000e+01 0.000000000000000000e+00 3.465544690232691494e+01 3.545454911039991774e+00 4.000045834274385163e-06 -4.612618270319932912e-06 -5.614614967133183410e-09
0.000000000000000000e+00 1.000000000000000000e+00 3.465544690232691494e+01 3.545454911039991774e+00 8.086533894352302093e-06 7.493070132685772231e-06 -1.089594700258767249e-08
1.000000000000000000e+00 1.000000000000000000e+00 3.394112549695427816e+01 3.524627420627918006e+00 1.619570466892184310e-05 1.619570466892184310e-05 -2.176020375146232519e-08
2.000000000000000000e+00 1.000000000000000000e+00 3.324154027718932269e+01 3.503800306975926482e+00 2.434963168408928652e-05 1.629545090888825327e-05 -3.256255974124841880e-08
3.000000000000000000e+00 1.000000000000000000e+00 3.255764119219941222e+01 3.483012093553056410e+00 3.256763595909825773e-05 1.642799530854099614e-05 -4.326914905381271754e-08
4.000000000000000000e+00 1.000000000000000000e+00 3.189043743820394994e+01 3.462306198024279968e+00 4.086741357882780801e-05 1.658682444957378289e-05 -5.385055700952290489e-08
5.000000000000000000e+00 1.000000000000000000e+00 3.124099870362661591e+01 3.441731293206546027e+00 4.926095300297732716e-05 1.676246085384263621e-05 -6.427018146365281277e-08
6.000000000000000000e+00 1.000000000000000000e+00 3.061045573002793319e+01 3.421341641119211019e+00 5.775732312141906914e-05 1.694409006302125562e-05 -7.449887540726543925e-08
7.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+01 3.401197381662155461e+00 6.635681502747221502e-05 1.711786359479024861e-05 -8.449701040606479117e-08
8.000000000000000000e+00 1.000000000000000000e+00 2.941088233970548416e+01 3.381364753465939454e+00 7.505529932185009401e-05 1.726852458425945228e-05 -9.423545930323511555e-08
9.000000000000000000e+00 1.000000000000000000e+00 2.884441020371191300e+01 3.361916220410604339e+00 8.383672072589338294e-05 1.737791681563518979e-05 -1.036716554560202473e-07
1.000000000000000000e+01 1.000000000000000000e+00 2.830194339616981125e+01 3.342930473534179825e+00 9.267905203063755482e-05 1.742669484273629194e-05 -1.127766146692221836e-07
1.100000000000000000e+01 1.000000000000000000e+00 2.778488797889960793e+01 3.324492275012388198e+00 1.015454132404678908e-04 1.739318601083221288e-05 -1.215053645389611338e-07
1.200000000000000000e+01 1.000000000000000000e+00 2.729468812791236232e+01 3.306692109189779849e+00 1.103917634130997382e-04 1.725528993349435087e-05 -1.298296017148510475e-07
1.300000000000000000e+01 1.000000000000000000e+00 2.683281572999747766e+01 3.289625606005050606e+00 1.191570886954242668e-04 1.698983612935541887e-05 -1.377029385179291340e-07
1.400000000000000000e+01 1.000000000000000000e+00 2.640075756488817049e+01 3.273392705380262058e+00 1.277731013875139422e-04 1.657474693028077668e-05 -1.450986931270819603e-07
1.500000000000000000e+01 1.000000000000000000e+00 2.600000000000000000e+01 3.258096538021482136e+00 1.361540946455058537e-04 1.598895865299258378e-05 -1.519704658239050266e-07
1.600000000000000000e+01 1.000000000000000000e+00 2.563201123595259290e+01 3.243842009242305036e+00 1.442089870098097111e-04 1.521480282556689711e-05 -1.582944686929945843e-07
1.700000000000000000e+01 1.000000000000000000e+00 2.529822128134703618e+01 3.230734088176858698e+00 1.518314747484449871e-04 1.423838288068957764e-05 -1.640260020739278939e-07
1.800000000000000000e+01 1.000000000000000000e+00 2.500000000000000000e+01 3.218875824868200564e+00 1.589146467463885032e-04 1.305190967985526821e-05 -1.691456501137192543e-07
1.900000000000000000e+01 1.000000000000000000e+00 2.473863375370596174e+01 3.208366141256163040e+00 1.653418445331495236e-04 1.165417095239578782e-05 -1.736122803806252560e-07
2.000000000000000000e+01 1.000000000000000000e+00 2.451530134426252516e+01 3.199297467267603778e+00 1.710036562437099563e-04 1.005230807954991291e-05 -1.774123653300557595e-07
2.100000000000000000e+01 1.000000000000000000e+00 2.433105012119287736e+01 3.191753317442002746e+00 1.757893446593679202e-04 8.261807186057788669e-06 -1.805101756643977869e-07
2.200000000000000000e+01 1.000000000000000000e+00 2.418677324489564739e+01 3.185805923615928403e+00 1.796053229917204453e-04 6.307102571463901568e-06 -1.828994381668420412e-07
2.300000000000000000e+01 1.000000000000000000e+00 2.408318915758459156e+01 3.181514051770232498e+00 1.823662717042621659e-04 4.220565715682507088e-06 -1.845514369145468889e-07
2.400000000000000000e+01 1.000000000000000000e+00 2.402082429892862692e+01 3.178921133254049902e+00 1.840134920568108935e-04 2.041566243090816874e-06 -1.854681866624659139e-07
2.500000000000000000e+01 1.000000000000000000e+00 2.400000000000000000e+01 3.178053830347945752e+00 1.845043318787656470e-04 -1.856291951406088391e-07 -1.856291951406088391e-07
2.600000000000000000e+01 1.000000000000000000e+00 2.402082429892862692e+01 3.178921133254049902e+00 1.838286191386193091e-04 -2.414110284451310940e-06 -1.850453184812665339e-07
2.700000000000000000e+01 1.000000000000000000e+00 2.408318915758459156e+01 3.181514051770232498e+00 1.819952507107918706e-04 -4.596944206268477719e-06 -1.837049711017125272e-07
2.800000000000000000e+01 1.000000000000000000e+00 2.418677324489564739e+01 3.185805923615928403e+00 1.790455720993561065e-04 -6.689904221766489493e-06 -1.816278342811768719e-07
2.900000000000000000e+01 1.000000000000000000e+00 2.433105012119287736e+01 3.191753317442002746e+00 1.750370194679521643e-04 -8.653615387554377614e-06 -1.788113250074591706e-07
3.000000000000000000e+01 1.000000000000000000e+00 2.451530134426252516e+01 3.199297467267603778e+00 1.700535562240501424e-04 -1.045576124140664212e-05 -1.752833481647190963e-07
3.100000000000000000e+01 1.000000000000000000e+00 2.473863375370596174e+01 3.208366141256163040e+00 1.641875015942109283e-04 -1.207191647309245738e-05 -1.710498490023221619e-07
3.200000000000000000e+01 1.000000000000000000e+00 2.500000000000000000e+01 3.218875824868200564e+00 1.575481726795240848e-04 -1.348665989018324029e-05 -1.661458302049112490e-07
3.300000000000000000e+01 1.000000000000000000e+00 2.529822128134703618e+01 3.230734088176858698e+00 1.502436952965021679e-04 -1.469286725190485339e-05 -1.605848111231372635e-07
3.400000000000000000e+01 1.000000000000000000e+00 2.563201123595259290e+01 3.243842009242305036e+00 1.423892357615024785e-04 -1.569181671258736642e-05 -1.544073699757909576e-07
3.500000000000000000e+01 1.000000000000000000e+00 2.600000000000000000e+01 3.258096538021482136e+00 1.340903947943216767e-04 -1.649131208074011766e-05 -1.476333141893504137e-07
3.600000000000000000e+01 1.000000000000000000e+00 2.640075756488817049e+01 3.273392705380262058e+00 1.254519145677447265e-04 -1.710530253877786343e-05 -1.403070525012181050e-07
3.700000000000000000e+01 1.000000000000000000e+00 2.683281572999747766e+01 3.289625606005050606e+00 1.165635486306873232e-04 -1.755145184093694825e-05 -1.324532434923030759e-07
3.800000000000000000e+01 1.000000000000000000e+00 2.729468812791236232e+01 3.306692109189779849e+00 1.075093921797185134e-04 -1.785084135863497035e-05 -1.241183508919266191e-07
3.900000000000000000e+01 1.000000000000000000e+00 2.778488797889960793e+01 3.324492275012388198e+00 9.835641425085659057e-05 -1.802549886752087853e-05 -1.153304819947515878e-07
4.000000000000000000e+01 1.000000000000000000e+00 2.830194339616981125e+01 3.342930473534179825e+00 8.916401155459769421e-05 -1.809854555563295193e-05 -1.061365316594204290e-07
4.100000000000000000e+01 1.000000000000000000e+00 2.884441020371191300e+01 3.361916220410604339e+00 7.997497257280374960e-05 -1.809194873003055831e-05 -9.656685054461918837e-08
4.200000000000000000e+01 1.000000000000000000e+00 2.941088233970548416e+01 3.381364753465939454e+00 7.082463657842336807e-05 -1.802721862008891914e-05 -8.666743974420536636e-08
4.300000000000000000e+01 1.000000000000000000e+00 3.000000000000000000e+01 3.401197381662155461e+00 6.173394583670157633e-05 -1.792343018075736688e-05 -7.647000347937719152e-08
4.400000000000000000e+01 1.000000000000000000e+00 3.061045573002793319e+01 3.421341641119211019e+00 5.271762688559978986e-05 -1.779839970211214854e-05 -6.601871812817155637e-08
4.500000000000000000e+01 1.000000000000000000e+00 3.124099870362661591e+01 3.441731293206546027e+00 4.377905610626342265e-05 -1.766690165742454199e-05 -5.534612854065664280e-08
4.600000000000000000e+01 1.000000000000000000e+00 3.189043743820394994e+01 3.462306198024279968e+00 3.491703586562698775e-05 -1.754218089151421653e-05 -4.449408354327929376e-08
4.700000000000000000e+01 1.000000000000000000e+00 3.255764119219941222e+01 3.483012093553056410e+00 2.612232695410004975e-05 -1.743426009562685592e-05 -3.349583283833719818e-08
4.800000000000000000e+01 1.000000000000000000e+00 3.324154027718932269e+01 3.503800306975926482e+00 1.738276638840050627e-05 -1.735164022731061327e-05 -2.239079668722075917e-08
4.900000000000000000e+01 1.000000000000000000e+00 3.394112549695427816e+01 3.524627420627918006e+00 8.681433587559462276e-06 -9.243072802738746437e-06 -1.121311458769594252e-08
0.000000000000000000e+00 2.000000000000000000e+00 3.397057550292606010e+01 3.525494723534022601e+00 8.134751561608393662e-06 1.125716348196411023e-05 -1.630434827753146024e-08
1.000000000000000000e+00 2.000000000000000000e+00 3.324154027718932269e+01 3.503800306975926482e+00 1.629545090888825327e-05 2.434963168408928652e-05 -3.256255974124841880e-08
2.000000000000000000e+00 2.000000000000000000e+00 3.252691193458118590e+01 3.482067806209122374e+00 2.450668285178479643e-05 2.450668285178480999e-05 -4.872575138356106169e-08
3.000000000000000000e+00 2.000000000000000000e+00 3.182766092567909766e+01 3.460335752124341635e+00 3.279201363772567414e-05 2.471673845172326435e-05 -6.474946678535631198e-08
4.000000000000000000e+00 2.000000000000000000e+00 3.114482300479487265e+01 3.438648035748714360e+00 4.117083914337429451e-05 2.496877448625415023e-05 -8.058110416219810626e-08
5.000000000000000000e+00 2.000000000000000000e+00 3.047950130825634218e+01 3.417054369406919090e+00 4.966033566568031870e-05 2.524984913357561595e-05 -9.617694978622461262e-08
6.000000000000000000e+00 2.000000000000000000e+00 2.983286778035259701e+01 3.395610731363092771e+00 5.827048449956955629e-05 2.554245421875884451e-05 -1.114800185564920193e-07
7.000000000000000000e+00 2.000000000000000000e+00 2.920616373302046753e+01 3.374379773745839639e+00 6.700753848999089666e-05 2.582690133223501032e-05 -1.264467340104800030e-07
8.000000000000000000e+00 2.000000000000000000e+00 2.860069929215018192e+01 3.353431168301373333e+00 7.586726875343028764e-05 2.607887503286279490e-05 -1.410155561911254681e-07
9.000000000000000000e+00 2.000000000000000000e+00 2.801785145224380003e+01 3.332841858891204101e+00 8.483990823854244438e-05 2.627186663128135190e-05 -1.551429368736013080e-07
1.000000000000000000e+01 2.000000000000000000e+00 2.745906043549196340e+01 3.312696184003978139e+00 9.390179394188629563e-05 2.637513844930909602e-05 -1.687632356833562372e-07
1.100000000000000000e+01 2.000000000000000000e+00 2.692582403567251959e+01 3.293085827427337353e+00 1.030218559421088183e-04 2.635636624464472223e-05 -1.818334231447099776e-07
1.200000000000000000e+01 2.000000000000000000e+00 2.641968962724581260e+01 3.274109551381186201e+00 1.121520122955117153e-04 2.618025908354337989e-05 -1.942849007585212371e-07
1.300000000000000000e+01 2.000000000000000000e+00 2.594224354214569317e+01 3.255872664822363927e+00 1.212354350215197026e-04 2.581158270761603306e-05 -2.060762732260072727e-07
1.400000000000000000e+01 2.000000000000000000e+00 2.549509756796392423e+01 3.238486181444841350e+00 1.301962778529332731e-04 2.521464079445527801e-05 -2.171377912409567113e-07
1.500000000000000000e+01 2.000000000000000000e+00 2.507987240796890660e+01 3.222065628350220479e+00 1.389501275303155073e-04 2.435675535501834275e-05 -2.274313718810558414e-07
1.600000000000000000e+01 2.000000000000000000e+00 2.469817807045693669e+01 3.206729478583678628e+00 1.473938296224634498e-04 2.320863298944263924e-05 -2.368884748574359104e-07
1.700000000000000000e+01 2.000000000000000000e+00 2.435159132377184221e+01 3.192597199498862892e+00 1.554186064247078350e-04 2.174811254613350062e-05 -2.454764213050846834e-07
1.800000000000000000e+01 2.000000000000000000e+00 2.404163056034261459e+01 3.179786934336188864e+00 1.629007323413824717e-04 1.996107915656837898e-05 -2.531305965932718113e-07
1.900000000000000000e+01 2.000000000000000000e+00 2.376972864800942631e+01 3.168412865573220660e+00 1.697175757732957420e-04 1.784487040347356715e-05 -2.598260075269837044e-07
2.000000000000000000e+01 2.000000000000000000e+00 2.353720459187963954e+01 3.158582343373641965e+00 1.757394625494466673e-04 1.540895677518052537e-05 -2.655047793185486699e-07
2.100000000000000000e+01 2.000000000000000000e+00 2.334523505985750447e+01 3.150392897331621977e+00 1.808482162543256994e-04 1.267701992729045003e-05 -2.701518040768187412e-07
2.200000000000000000e+01 2.000000000000000000e+00 2.319482700948640286e+01 3.143929280080892230e+00 1.849296735831953964e-04 9.686387085758698182e-06 -2.737185675963371700e-07
2.300000000000000000e+01 2.000000000000000000e+00 2.308679276123039159e+01 3.139260712082922122e+00 1.878932639708829244e-04 6.487828469741330640e-06 -2.762016813353238877e-07
2.400000000000000000e+01 2.000000000000000000e+00 2.302172886644267535e+01 3.136438503273083711e+00 1.896636390967498494e-04 3.143091039686796151e-06 -2.775641366390660565e-07
2.500000000000000000e+01 2.000000000000000000e+00 2.300000000000000000e+01 3.135494215929149675e+00 1.901990228913026226e-04 -2.778154796853767559e-07 -2.778154796853767559e-07
2.600000000000000000e+01 2.000000000000000000e+00 2.302172886644267535e+01 3.136438503273083711e+00 1.894800420833915220e-04 -3.700632732178319416e-06 -2.769316453419905753e-07
2.700000000000000000e+01 2.000000000000000000e+00 2.308679276123039159e+01 3.139260712082922122e+00 1.875247768899508379e-04 -7.051149509287868433e-06 -2.749355290027673954e-07
2.800000000000000000e+01 2.000000000000000000e+00 2.319482700948640286e+01 3.143929280080892230e+00 1.843737315603712187e-04 -1.025933644995772210e-05 -2.718165964406792090e-07
2.900000000000000000e+01 2.000000000000000000e+00 2.334523505985750447e+01 3.150392897331621977e+00 1.801009192376443776e-04 -1.326351975593741128e-05 -2.676106250939754364e-07
3.000000000000000000e+01 2.000000000000000000e+00 2.353720459187963954e+01 3.158582343373641965e+00 1.747956391151966340e-04 -1.601293494469992890e-05 -2.623203155879697338e-07
3.100000000000000000e+01 2.000000000000000000e+00 2.376972864800942631e+01 3.168412865573220660e+00 1.685706582243336475e-04 -1.847034866421423107e-05 -2.559930133336739411e-07
3.200000000000000000e+01 2.000000000000000000e+00 2.404163056034261459e+01 3.179786934336188864e+00 1.615428635128797778e-04 -2.061210404431440871e-05 -2.486435568854912775e-07
3.300000000000000000e+01 2.000000000000000000e+00 2.435159132377184221e+01 3.192597199498862892e+00 1.538404570811691694e-04 -2.242883516311662464e-05 -2.403288435986030216e-07
3.400000000000000000e+01 2.000000000000000000e+00 2.469817807045693669e+01 3.206729478583678628e+00 1.455847493821862222e-04 -2.392323643557491605e-05 -2.310741352698952780e-07
3.500000000000000000e+01 2.000000000000000000e+00 2.507987240796890660e+01 3.222065628350220479e+00 1.368979108941072132e-04 -2.510952151338913404e-05 -2.209433944980947022e-07
3.600000000000000000e+01 2.000000000000000000e+00 2.549509756796392423e+01 3.238486181444841350e+00 1.278873617146838169e-04 -2.600987118515202777e-05 -2.099702262752271495e-07
3.700000000000000000e+01 2.000000000000000000e+00 2.594224354214569317e+01 3.255872664822363927e+00 1.186546229137751870e-04 -2.665364620101684013e-05 -1.982229814464586768e-07
3.800000000000000000e+01 2.000000000000000000e+00 2.641968962724581260e+01 3.274109551381186201e+00 1.092827233202463109e-04 -2.707350123147900050e-05 -1.857414434212932910e-07
3.900000000000000000e+01 2.000000000000000000e+00 2.692582403567251959e+01 3.293085827427337353e+00 9.984582121479101068e-05 -2.730512983087381835e-05 -1.725957703477395879e-07
4.000000000000000000e+01 2.000000000000000000e+00 2.745906043549196340e+01 3.312696184003978139e+00 9.039936561038858915e-05 -2.738365386944974689e-05 -1.588299405324710041e-07
4.100000000000000000e+01 2.000000000000000000e+00 2.801785145224380003e+01 3.332841858891204101e+00 8.098974812329056447e-05 -2.734423456395652973e-05 -1.445136859028325546e-07
4.200000000000000000e+01 2.000000000000000000e+00 2.860069929215018192e+01 3.353431168301373333e+00 7.164673195965789478e-05 -2.721892734598186107e-05 -1.296935916070794670e-07
4.300000000000000000e+01 2.000000000000000000e+00 2.920616373302046753e+01 3.374379773745839639e+00 6.239238242372422024e-05 -2.703813203694109438e-05 -1.144372614211283451e-07
4.400000000000000000e+01 2.000000000000000000e+00 2.983286778035259701e+01 3.395610731363092771e+00 5.323534999050645995e-05 -2.682783693572878870e-05 -9.879283109421775014e-08
4.500000000000000000e+01 2.000000000000000000e+00 3.047950130825634218e+01 3.417054369406919090e+00 4.417851540868338679e-05 -2.661169933864457728e-05 -8.282470335750191214e-08
4.600000000000000000e+01 2.000000000000000000e+00 3.114482300479487265e+01 3.438648035748714360e+00 3.521489068131077483e-05 -2.640850653045428097e-05 -6.658208607025794309e-08
4.700000000000000000e+01 2.000000000000000000e+00 3.182766092567909766e+01 3.460335752124341635e+00 2.633364008105465033e-05 -2.623464006539083233e-05 -5.012574192144039287e-08
4.800000000000000000e+01 2.000000000000000000e+00 3.252691193458118590e+01 3.482067806209122374e+00 1.751752646709545889e-05 -2.610159374059850231e-05 -3.350600631736011504e-08
4.900000000000000000e+01 2.000000000000000000e+00 3.324154027718932269e+01 3.503800306975926482e+00 8.747155134967280247e-06 -1.390885076436813709e-05 -1.678011553204634423e-08
0.000000000000000000e+00 3.000000000000000000e+00 3.330165161069342616e+01 3.505606993675183691e+00 8.198956556984742861e-06 1.504136590660674525e-05 -2.166601227758042014e-08
1.000000000000000000e+00 3.000000000000000000e+00 3.255764119219941222e+01 3.483012093553056410e+00 1.642799530854099614e-05 3.256763595909824418e-05 -4.326914905381271754e-08
2.000000000000000000e+00 3.000000000000000000e+00 3.182766092567909766e+01 3.460335752124341635e+00 2.471673845172326435e-05 3.279201363772567414e-05 -6.474946678535631198e-08
3.000000000000000000e+00 3.000000000000000000e+00 3.111269837220809009e+01 3.437616043638288321e+00 3.309215160013048067e-05 3.309215160013049422e-05 -8.603975638801341502e-08
4.000000000000000000e+00 3.000000000000000000e+00 3.041381265149109936e+01 3.414896868756212456e+00 4.157969529955082063e-05 3.345514647752842745e-05 -1.070816290146820024e-07
5.000000000000000000e+00 3.000000000000000000e+00 2.973213749463701205e+01 3.392228531318821627e+00 5.019929794489234832e-05 3.386210621003789799e-05 -1.278024107004190882e-07
6.000000000000000000e+00 3.000000000000000000e+00 2.906888370749726747e+01 3.369668313678586991e+00 5.896798481852229745e-05 3.429129288733183357e-05 -1.481442019778318221e-07
7.000000000000000000e+00 3.000000000000000000e+00 2.842534080710379030e+01 3.347281029260547491e+00 6.789398326854203570e-05 3.471464784865097995e-05 -1.680282734505998080e-07
8.000000000000000000e+00 3.000000000000000000e+00 2.780287754891568852e+01 3.325139524293711180e+00 7.698071981985149569e-05 3.510089433281100000e-05 -1.873967110250227604e-07
9.000000000000000000e+00 3.000000000000000000e+00 2.720294101747088789e+01 3.303325093099107601e+00 8.621911972349691330e-05 3.541244200409119779e-05 -2.061648957434535859e-07
1.000000000000000000e+01 3.000000000000000000e+00 2.662705391138869615e+01 3.281927763266063725e+00 9.559294436398802592e-05 3.560864254630266589e-05 -2.242751378654834777e-07
1.100000000000000000e+01 3.000000000000000000e+00 2.607680962081059661e+01 3.261046399085076430e+00 1.050695158231023101e-04 3.564340436445763254e-05 -2.416379842557837051e-07
