p1 p3 <I>/N
0.5 0.75 0.33130738522954095
0.5 0.8 0.3418423153692615
0.5 0.8500000000000001 0.3503764471057884
0.5 0.9 0.35783433133732534
0.5 0.9500000000000001 0.3647916167664671
0.5 1.0 0.3692255489021956
0.55 0.0 0.0
0.55 0.05 0.0
0.55 0.1 0.0
0.55 0.15000000000000002 0.0
0.55 0.2 0.0
0.55 0.25 0.0028941176470588235
0.55 0.30000000000000004 0.021474626865671642
0.55 0.35000000000000003 0.1447756487025948
0.55 0.4 0.20162035928143712
0.55 0.45 0.2418263473053892
0.55 0.5 0.26878522954091816
0.55 0.55 0.2912307385229541
0.55 0.6000000000000001 0.30836526946107784
0.55 0.65 0.3243520958083832
0.55 0.7000000000000001 0.3361588822355289
0.55 0.75 0.34812255489021954
0.55 0.8 0.35916447105788424
0.55 0.8500000000000001 0.3667285429141717
0.55 0.9 0.3742275449101796
0.55 0.9500000000000001 0.382575249500998
0.55 1.0 0.3887313373253493
0.6000000000000001 0.0 0.0
0.6000000000000001 0.05 0.0
0.6000000000000001 0.1 0.0
0.6000000000000001 0.15000000000000002 0.0
0.6000000000000001 0.2 0.0
0.6000000000000001 0.25 0.0027048780487804874
0.6000000000000001 0.30000000000000004 0.07386826347305389
0.6000000000000001 0.35000000000000003 0.1603245508982036
0.6000000000000001 0.4 0.21527944111776445
0.6000000000000001 0.45 0.25434371257485033
0.6000000000000001 0.5 0.28266027944111777
0.6000000000000001 0.55 0.3042487025948104
0.6000000000000001 0.6000000000000001 0.320777245508982
0.6000000000000001 0.65 0.3366774451097805
0.6000000000000001 0.7000000000000001 0.3501880239520958
0.6000000000000001 0.75 0.3623588822355289
0.6000000000000001 0.8 0.3727740518962076
0.6000000000000001 0.8500000000000001 0.3815684630738523
0.6000000000000001 0.9 0.39027025948103794
0.6000000000000001 0.9500000000000001 0.39728143712574854
0.6000000000000001 1.0 0.40340718562874256
0.65 0.0 0.0
0.65 0.05 0.0
0.65 0.1 0.0
0.65 0.15000000000000002 0.0
0.65 0.2 0.0
0.65 0.25 0.007988235294117647
0.65 0.30000000000000004 0.07042395209580839
0.65 0.35000000000000003 0.17497205588822357
0.65 0.4 0.22588902195608784
0.65 0.45 0.26349141716566865
0.65 0.5 0.29413373253493014
0.65 0.55 0.3149812375249501
0.65 0.6000000000000001 0.3344770459081836
0.65 0.65 0.34907265469061877
0.65 0.7000000000000001 0.3638814371257485
0.65 0.75 0.37526706586826347
0.65 0.8 0.38564630738522954
0.65 0.8500000000000001 0.39376487025948104
0.65 0.9 0.40337005988023955
0.65 0.9500000000000001 0.41057644710578844
0.65 1.0 0.4171728542914172
0.7000000000000001 0.0 0.0
0.7000000000000001 0.05 0.0
0.7000000000000001 0.1 0.0
0.7000000000000001 0.15000000000000002 0.0
0.7000000000000001 0.2 0.0
0.7000000000000001 0.25 0.001925
0.7000000000000001 0.30000000000000004 0.0687684630738523
0.7000000000000001 0.35000000000000003 0.18274890219560877
0.7000000000000001 0.4 0.23619600798403195
0.7000000000000001 0.45 0.273861876247505
0.7000000000000001 0.5 0.3036930139720559
0.7000000000000001 0.55 0.32460598802395213
0.7000000000000001 0.6000000000000001 0.34460918163672655
0.7000000000000001 0.65 0.35987225548902196
0.7000000000000001 0.7000000000000001 0.37508902195608784
0.7000000000000001 0.75 0.38634291417165667
0.7000000000000001 0.8 0.3972950099800399
0.7000000000000001 0.8500000000000001 0.40555209580838325
0.7000000000000001 0.9 0.415115369261477
0.7000000000000001 0.9500000000000001 0.42302914171656686
0.7000000000000001 1.0 0.4296447105788423
0.75 0.0 0.0
0.75 0.05 0.0
0.75 0.1 0.0
0.75 0.15000000000000002 0.0
0.75 0.2 0.0
0.75 0.25 0.003618604651162791
0.75 0.30000000000000004 0.09890339321357285
0.75 0.35000000000000003 0.1864427145708583
0.75 0.4 0.2445704590818363
0.75 0.45 0.2826131736526946
0.75 0.5 0.31133892215568865
0.75 0.55 0.3345508982035928
0.75 0.6000000000000001 0.35374850299401195
0.75 0.65 0.3700459081836327
0.75 0.7000000000000001 0.3844738522954092
0.75 0.75 0.3964818363273453
0.75 0.8 0.40824151696606786
0.75 0.8500000000000001 0.4179205588822355
0.75 0.9 0.4265516966067864
0.75 0.9500000000000001 0.4333692614770459
0.75 1.0 0.4409469061876248
0.8 0.0 0.0
0.8 0.05 0.0
0.8 0.1 0.0
0.8 0.15000000000000002 0.0
0.8 0.2 0.0
0.8 0.25 0.003914285714285715
0.8 0.30000000000000004 0.09793333333333333
0.8 0.35000000000000003 0.19672215568862275
0.8 0.4 0.24794091816367267
0.8 0.45 0.2904047904191617
0.8 0.5 0.3188311377245509
0.8 0.55 0.3424451097804391
0.8 0.6000000000000001 0.3616483033932136
0.8 0.65 0.37866666666666665
0.8 0.7000000000000001 0.3936690618762475
0.8 0.75 0.406237125748503
0.8 0.8 0.4168367265469062
0.8 0.8500000000000001 0.42756966067864266
0.8 0.9 0.43629500998003995
0.8 0.9500000000000001 0.4430263473053892
0.8 1.0 0.4512670658682635
0.8500000000000001 0.0 0.0
0.8500000000000001 0.05 0.0
0.8500000000000001 0.1 0.0
0.8500000000000001 0.15000000000000002 0.0
0.8500000000000001 0.2 0.0
0.8500000000000001 0.25 0.0
0.8500000000000001 0.30000000000000004 0.1106998003992016
0.8500000000000001 0.35000000000000003 0.20294131736526946
0.8500000000000001 0.4 0.2584682634730539
0.8500000000000001 0.45 0.29602235528942117
0.8500000000000001 0.5 0.32494211576846305
0.8500000000000001 0.55 0.3493261477045908
0.8500000000000001 0.6000000000000001 0.37024031936127744
0.8500000000000001 0.65 0.38651656686626745
0.8500000000000001 0.7000000000000001 0.400987624750499
0.8500000000000001 0.75 0.4137592814371257
0.8500000000000001 0.8 0.4253724550898203
0.8500000000000001 0.8500000000000001 0.43652175648702596
0.8500000000000001 0.9 0.44480558882235527
0.8500000000000001 0.9500000000000001 0.45252375249501003
0.8500000000000001 1.0 0.4599956087824351
0.9 0.0 0.0
0.9 0.05 0.0
0.9 0.1 0.0
0.9 0.15000000000000002 0.0
0.9 0.2 0.0
0.9 0.25 0.008940909090909091
0.9 0.30000000000000004 0.12000758483033933
0.9 0.35000000000000003 0.21192734530938123
0.9 0.4 0.26382714570858284
0.9 0.45 0.3032163672654691
0.9 0.5 0.3321740518962076
0.9 0.55 0.35658483033932137
0.9 0.6000000000000001 0.37687345309381237
0.9 0.65 0.3942854291417166
0.9 0.7000000000000001 0.4088590818363273
0.9 0.75 0.42191257485029937
0.9 0.8 0.434364870259481
0.9 0.8500000000000001 0.44465029940119755
0.9 0.9 0.4538854291417166
0.9 0.9500000000000001 0.46148622754491014
0.9 1.0 0.46823752495009974
0.9500000000000001 0.0 0.0
0.9500000000000001 0.05 0.0
0.9500000000000001 0.1 0.0
0.9500000000000001 0.15000000000000002 0.0
0.9500000000000001 0.2 0.0014
0.9500000000000001 0.25 0.005054545454545455
0.9500000000000001 0.30000000000000004 0.1250131736526946
0.9500000000000001 0.35000000000000003 0.21373692614770456
0.9500000000000001 0.4 0.270012375249501
0.9500000000000001 0.45 0.3095936127744511
0.9500000000000001 0.5 0.3394427145708583
0.9500000000000001 0.55 0.3640195608782435
0.9500000000000001 0.6000000000000001 0.3834275449101796
0.9500000000000001 0.65 0.4008423153692615
0.9500000000000001 0.7000000000000001 0.41557844311377246
0.9500000000000001 0.75 0.42894530938123754
0.9500000000000001 0.8 0.4397377245508982
0.9500000000000001 0.8500000000000001 0.45016407185628743
0.9500000000000001 0.9 0.4613109780439122
0.9500000000000001 0.9500000000000001 0.46934930139720554
0.9500000000000001 1.0 0.4770311377245509
1.0 0.0 0.0
1.0 0.05 0.0
1.0 0.1 0.0
1.0 0.15000000000000002 0.0
1.0 0.2 0.0
1.0 0.25 0.010929166666666667
1.0 0.30000000000000004 0.131936127744511
1.0 0.35000000000000003 0.22291576846307384
1.0 0.4 0.27709700598802395
1.0 0.45 0.31532135728542915
1.0 0.5 0.3441852295409182
1.0 0.55 0.3688754491017964
1.0 0.6000000000000001 0.3896642714570858
1.0 0.65 0.4073421157684631
1.0 0.7000000000000001 0.4220622754491018
1.0 0.75 0.4349696606786427
1.0 0.8 0.44634171656686633
1.0 0.8500000000000001 0.45710898203592815
1.0 0.9 0.46684111776447107
1.0 0.9500000000000001 0.4762307385229541
1.0 1.0 0.4836
