T <E> Cv CvErr
1.0 -4743.269424823411 0.07611506097765865 0.0031407265139004386
1.1 -4720.516649848638 0.07830590196979341 0.0037223928214479085
1.2000000000000002 -4695.451059535822 0.1196696312331784 0.006229760727079696
1.3000000000000003 -4663.495459132189 0.1622449929999808 0.007183682618402397
1.4000000000000004 -4624.8355196770935 0.18111661889811684 0.007906323960577694
1.5000000000000004 -4571.23713420787 0.227460706081157 0.009661527034059996
1.6000000000000005 -4506.748738647831 0.3034082422936599 0.013185466596709914
1.7000000000000006 -4415.523713420787 0.3771095838651126 0.016986885005813503
1.8000000000000007 -4295.991927346115 0.4932730295397797 0.022402310417877797
1.9000000000000008 -4172.193743693239 0.5617845709681755 0.026133982026733227
2.000000000000001 -3971.8466195761857 0.939199261975335 0.04282294143661608
2.100000000000001 -3806.5792129162464 0.9602437842428627 0.0439514576210543
2.200000000000001 -3559.6286579212915 1.158068846570792 0.054468430462861935
2.300000000000001 -3246.821392532795 1.1719918118627792 0.05425000116090097
2.4000000000000012 -2966.6841574167506 0.9196555206070909 0.03865031499441623
2.5000000000000013 -2732.6458123107973 0.7976455414003522 0.036957255300050146
2.6000000000000014 -2557.638748738648 0.6310022553304251 0.028470136610848577
2.7000000000000015 -2399.830474268416 0.6090392971407734 0.027219813504319228
2.8000000000000016 -2262.6841574167506 0.5022185455462135 0.02197874951752083
2.9000000000000017 -2146.526740665994 0.4657040614698681 0.020525543900542464
3.0000000000000018 -2035.7699293642786 0.38058417059737837 0.01629944643402383
